시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
OC3CL200024,2041,2041,4082,6807,29.983840164536506
OC3CL200126,1532,1532,3064,6267,24.445508217647998
V02Q1940274,2171,2171,4342,9234,23.510937838423217
V02Q1940824,1902,1902,3804,9298,20.456012045601206
V02Q1940466,1608,1608,3216,8941,17.984565484845096
V02Q1940564,701,701,1402,9137,7.672102440626026
V02Q1940690,644,522,1166,9102,6.405185673478356
V02Q1940503,385,385,770,9115,4.223806911684037
OC3CL200210,396,203,599,8968,3.3396520963425513
V02Q1940788,400,174,574,9222,3.1121231836911734
V02Q1940530,244,129,373,7600,2.4539473684210527
OC3CL200227,129,129,258,5393,2.391989616169108
V02Q1940935,269,90,359,9294,1.9313535614374866
OC3CL200010,182,0,182,4995,1.8218218218218218
OC3CL200015,160,0,160,4994,1.6019223067681216
V02Q1940174,193,0,193,6071,1.5895239663976282
OC3CL200154,282,0,282,9105,1.5485996705107083
V02Q1940829,250,0,250,8346,1.497723460340283
OC3CL200011,134,134,268,9201,1.4563634387566569
OC3CL200153,258,0,258,9127,1.4133888462802673
OC3CL200194,259,0,259,9195,1.4083741163675911
OC3CL200198,253,0,253,9113,1.3881268517502467
V02Q1940677,227,0,227,8186,1.3865135597361349
OC3CL200113,252,0,252,9117,1.3820335636722607
OC3CL200135,250,0,250,9100,1.3736263736263736
OC3CL200156,249,0,249,9068,1.3729598588442877
OC3CL200229,248,0,248,9063,1.3682003751517158
V02Q1940878,251,0,251,9209,1.3627972635465306
V02Q1940808,251,0,251,9241,1.358078130072503
V02Q1940470,246,0,246,9063,1.3571665011585567
V02Q1940805,251,0,251,9263,1.3548526395336284
V02Q1940840,250,0,250,9232,1.3539861351819757
V02Q1940833,250,0,250,9233,1.353839488790209
V02Q1940780,250,0,250,9251,1.351205275105394
OC3CL200155,245,0,245,9079,1.3492675404780263
V02Q1940953,250,0,250,9300,1.3440860215053763
V02Q1940361,244,0,244,9116,1.338306274681878
OC3CL200200,242,0,242,9084,1.3320123293703214
OC3CL200195,240,0,240,9175,1.3079019073569482
OC3CL200159,234,0,234,8954,1.3066785794058522
OC3CL200133,238,0,238,9145,1.301257517769273
OC3CL200158,234,0,234,9039,1.294390972452705
V02Q1940836,226,0,226,8754,1.29083847384053
V02Q1940645,231,0,231,8957,1.2894942503070224
V02Q1940400,236,0,236,9161,1.2880689881017358
OC3CL200136,233,0,233,9060,1.2858719646799117
V02Q1940608,233,0,233,9061,1.2857300518706545
OC3CL200201,233,0,233,9064,1.2853045013239188
V02Q1940772,236,0,236,9189,1.2841440853194037
V02Q1940132,233,0,233,9076,1.2836051123843104
V02Q1940708,234,0,234,9138,1.2803676953381482
V02Q1940358,234,0,234,9156,1.2778505897771952
V02Q1940707,234,0,234,9159,1.2774320340648542
V02Q1940856,156,0,156,6130,1.2724306688417617
OC3CL200182,230,0,230,9038,1.2724053994246514
OC3CL200137,230,0,230,9039,1.2722646310432568
OC3CL200140,227,0,227,8945,1.2688652878703186
V02Q1940728,232,0,232,9143,1.2687301760909986
V02Q1940736,232,0,232,9167,1.2654085305988874
OC3CL200031,230,0,230,9115,1.2616566099835436
V02Q1940336,230,0,230,9116,1.2615182097411146
V02Q1940737,231,0,231,9157,1.2613301299552255
V02Q1940830,226,0,226,8975,1.2590529247910864
V02Q1940381,231,0,231,9176,1.25871839581517
OC3CL200197,230,0,230,9141,1.258068045071655
OC3CL200199,229,0,229,9107,1.2572746239156691
V02Q1940382,230,0,230,9151,1.256693257567479
V02Q1940306,229,0,229,9198,1.2448358338769296
OC3CL200138,224,0,224,9005,1.243753470294281
OC3CL200132,209,0,209,8430,1.239620403321471
V02Q1940676,226,0,226,9121,1.2388992435040018
V02Q1940289,223,0,223,9027,1.235183338872272
V02Q1940477,211,0,211,8556,1.2330528284244975
V02Q1940488,223,0,223,9079,1.2281088225575503
V02Q1940783,227,0,227,9253,1.226629201340106
OC3CL200162,220,0,220,8971,1.2261732248355812
V02Q1940806,227,0,227,9258,1.2259667314754807
V02Q1940377,225,0,225,9179,1.2256237062860877
V02Q1940569,222,0,222,9057,1.22557138125207
V02Q1940635,223,0,223,9101,1.2251400944951105
V02Q1940857,227,0,227,9267,1.2247760871911084
V02Q1940153,226,0,226,9227,1.2246667389183916
V02Q1940671,222,0,222,9066,1.2243547319655859
V02Q1940597,223,0,223,9116,1.2231241772707326
V02Q1940881,227,0,227,9285,1.2224017232094775
V02Q1940779,226,0,226,9248,1.2218858131487889
V02Q1940596,223,0,223,9129,1.2213824077116882
V02Q1940815,226,0,226,9257,1.220697850275467
V02Q1940885,227,0,227,9311,1.2189882934163894
V02Q1940816,226,0,226,9274,1.2184602113435412
V02Q1940298,224,0,224,9196,1.2179208351457156
V02Q1940820,226,0,226,9281,1.2175412132313328
V02Q1940851,226,0,226,9282,1.2174100409394528
V02Q1940550,221,0,221,9090,1.2156215621562156
OC3CL200209,216,0,216,8887,1.215258242376505
OC3CL200178,221,0,221,9099,1.2144191669414222
V02Q1940652,220,0,220,9059,1.2142620598300033
OC3CL200093,221,0,221,9102,1.2140188969457262
OC3CL200204,219,0,219,9020,1.213968957871397
OC3CL200032,220,0,220,9062,1.2138600750386228
OC3CL200161,218,0,218,8997,1.211514949427587
V02Q1940244,225,0,225,9292,1.2107188979767542
V02Q1940300,223,0,223,9216,1.2098524305555556
V02Q1940633,219,0,219,9051,1.2098110705999336
V02Q1940537,221,0,221,9142,1.2087070662874644
V02Q1940352,216,0,216,8939,1.208188835440206
V02Q1940556,220,0,220,9106,1.2079947287502746
OC3CL200157,218,0,218,9056,1.2036219081272086
V02Q1940591,218,0,218,9074,1.2012342957901698
V02Q1940682,219,0,219,9123,1.200263071358106
OC3CL200117,216,0,216,9008,1.1989342806394316
V02Q1940233,219,0,219,9143,1.1976375369134857
V02Q1940565,218,0,218,9124,1.194651468654099
V02Q1940775,220,0,220,9209,1.1944836572917799
V02Q1940542,218,0,218,9129,1.1939971519333992
V02Q1940602,217,0,217,9088,1.193882042253521
V02Q1940744,219,0,219,9213,1.1885379355258874
V02Q1940510,215,0,215,9067,1.1856181758023603
V02Q1940303,167,0,167,7057,1.1832223324358793
OC3CL200160,213,0,213,9002,1.1830704287936014
V02Q1940253,219,0,219,9256,1.1830164217804668
OC3CL200206,213,0,213,9011,1.181888802574631
V02Q1940168,214,0,214,9056,1.1815371024734982
OC3CL200164,211,0,211,8930,1.181410974244121
V02Q1940166,216,0,216,9164,1.1785246617197729
V02Q1940872,186,31,217,9218,1.1770449121284443
OC3CL200213,215,0,215,9137,1.1765349677136916
V02Q1940084,216,0,216,9187,1.1755741809078044
V02Q1940246,218,0,218,9279,1.1746955490893416
V02Q1940666,214,0,214,9124,1.1727312582200788
OC3CL200116,212,0,212,9042,1.17230701172307
V02Q1940362,214,0,214,9135,1.1713191023535852
V02Q1940726,215,0,215,9191,1.1696224567511695
V02Q1940419,213,0,213,9117,1.1681474169134585
V02Q1940150,214,0,214,9174,1.1663396555482886
V02Q1940756,166,45,211,9049,1.1658746822853354
V02Q1940251,215,0,215,9249,1.162287814898908
V02Q1940216,213,0,213,9170,1.1613958560523445
OC3CL200033,210,0,210,9043,1.1611190976445869
OC3CL200214,213,0,213,9186,1.1593729588504247
OC3CL200181,210,0,210,9057,1.159324279562769
OC3CL200055,210,0,210,9069,1.1577902745616937
V02Q1940458,211,0,211,9122,1.156544617408463
V02Q1940733,210,0,210,9086,1.155624036979969
V02Q1940317,213,0,213,9222,1.154847104749512
V02Q1940490,207,0,207,8963,1.1547472944326675
V02Q1940471,208,0,208,9045,1.1498065229408514
V02Q1940260,212,0,212,9221,1.1495499403535407
V02Q1940109,210,0,210,9143,1.1484195559444383
OC3CL200220,207,0,207,9020,1.147450110864745
V02Q1940204,163,0,163,7112,1.1459505061867266
V02Q1940258,206,0,206,8995,1.1450806003335186
V02Q1940107,211,0,211,9216,1.1447482638888888
V02Q1940534,184,0,184,8042,1.1439940313354886
V02Q1940662,208,0,208,9119,1.1404759293782212
V02Q1940741,209,0,209,9167,1.1399585469619287
V02Q1940375,209,0,209,9168,1.1398342059336823
V02Q1940379,209,0,209,9185,1.1377245508982037
V02Q1940699,208,0,208,9151,1.1364878155392852
OC3CL200203,205,0,205,9032,1.1348538529672276
V02Q1940663,206,0,206,9083,1.1339865683144335
V02Q1940155,207,0,207,9139,1.1325090272458693
V02Q1940066,207,0,207,9145,1.1317659923455439
V02Q1940180,207,0,207,9158,1.1301594234549028
OC3CL200186,202,0,202,8937,1.1301331543023385
OC3CL200036,204,0,204,9029,1.129693210765312
V02Q1940452,199,0,199,8813,1.1290139566549415
OC3CL200165,202,0,202,8948,1.1287438533750558
V02Q1940098,196,0,196,8690,1.1277330264672036
V02Q1940665,206,0,206,9142,1.1266681251367316
V02Q1940181,206,0,206,9154,1.1251911732575923
OC3CL200202,204,0,204,9070,1.1245865490628444
V02Q1940283,207,0,207,9205,1.1243889190657252
V02Q1940465,205,0,205,9125,1.1232876712328765
V02Q1940069,206,0,206,9180,1.1220043572984748
OC3CL200035,203,0,203,9052,1.12129916040654
V02Q1940514,204,0,204,9115,1.1190345584201864
V02Q1940664,204,0,204,9132,1.1169513797634691
V02Q1940201,204,0,204,9139,1.1160958529379583
OC3CL200185,200,0,200,8960,1.1160714285714286
V02Q1940105,205,0,205,9187,1.1157069772504626
V02Q1940368,176,0,176,7888,1.1156186612576064
V02Q1940130,204,0,204,9159,1.1136586963642319
OC3CL200228,202,0,202,9087,1.1114779355122701
V02Q1940659,203,0,203,9136,1.1109894921190893
V02Q1940611,200,0,200,9040,1.1061946902654867
V02Q1940050,203,0,203,9178,1.1059054260187404
V02Q1940654,199,0,199,9003,1.1051871598356104
V02Q1940222,203,0,203,9187,1.1048220311309458
OC3CL200013,202,0,202,9147,1.1041871651907729
V02Q1940536,201,0,201,9117,1.102336294833827
V02Q1940877,204,0,204,9254,1.1022260644045818
OC3CL200095,199,0,199,9046,1.0999336723413664
V02Q1940446,200,0,200,9097,1.0992634934593821
V02Q1940207,202,0,202,9195,1.0984230560087005
OC3CL200183,198,0,198,9020,1.097560975609756
OC3CL200134,200,0,200,9120,1.0964912280701753
V02Q1940455,196,0,196,8941,1.0960742646236439
V02Q1940370,201,0,201,9172,1.0957261229829918
V02Q1940445,199,0,199,9085,1.0952118877270225
V02Q1940515,200,0,200,9140,1.0940919037199124
OC3CL200205,197,0,197,9008,1.0934724689165187
V02Q1940802,202,0,202,9243,1.0927188142378017
V02Q1940888,203,0,203,9300,1.0913978494623655
V02Q1940497,199,0,199,9122,1.090769568077176
OC3CL200163,192,0,192,8805,1.090289608177172
V02Q1940823,202,0,202,9275,1.0889487870619945
V02Q1940861,202,0,202,9300,1.086021505376344
OC3CL200187,194,0,194,8948,1.084041126508717
